job_title,company_name,job_summary,job_link,job_tech_stack
Scrum Master,Trenkwalder Kft.,"és Business Analyst támogatása és gyakorlatok, technikák hatékony demonstrációja a sprint célok...",https://www.profession.hu/allas/scrum-master-trenkwalder-kft-2259616?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
AI Research Engineer - aiNotate,aiMotive Kft.,"Research, develop, and implement algorithms to improve the quality and robustness of the auto-annotation pipeline using supervised and self-supervised learning. Develop detection and tracking solutions based on various sensor data Reconstruct 3D environments with NeRFs Integra...",https://www.profession.hu/allas/ai-research-engineer-ainotate-aimotive-kft-2246150?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['PYTHON', 'NETWORK', 'C++', 'LINUX', 'DOCKER']"
IT Solution Architect,ENLOYD Kft.,"üzemeltető, fejlesztő, project manager, business analyst kollégákkal és az üzleti területek...",https://www.profession.hu/allas/it-solution-architect-enloyd-kft-2255052/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
CRM (Salesforce) Üzleti tanácsadó,Attention CRM Consulting Kft.,"tanácsadói, folyamatszervezői, rendszerszervezői, business analyst tapasztalat
Szoftver bevezetési...",https://www.profession.hu/allas/crm-salesforce-uzleti-tanacsado-attention-crm-consulting-kft-2249878?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['CRM', 'ORACLE', 'DYNAMICS', 'SAP', 'TERADATA']"
Senior Software Engineer - Localization and Mapping,aiMotive Kft.,"Design, implementation, testing and analysis of Localization & Mapping SW components for automated driving. Understand requirements between systems and be able to translate them into well-balanced technical designs that can be implemented in an iterative approach enabling agility...",https://www.profession.hu/allas/senior-software-engineer-localization-and-mapping-aimotive-kft-2255137?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['TESTING', 'ACCESS', 'SECURITY', 'C++', 'DYNAMICS.']"
Automation Tester (E-G2),Tech People Hungary Kft.,"; Recommend improvements to testing processes and procedures; Stay up-to-date with the latest testing... analyze data, make decisions and solve problems; Willingness to learn and to develop your own skills to... ; High school; Tester, Test Engineer; IT Development; English; Hungarian; senior; General work schedule ...",https://www.profession.hu/allas/automation-tester-e-g-tech-people-hungary-kft-budapest-2245139?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Alkalmazásgazda ,DIGI Kft.,"; Alkalmazotti jogviszony; Főiskola; Üzleti elemző; IT tanácsadó, Elemző, Auditor; Rendszertervező; IT...",https://www.profession.hu/allas/alkalmazasgazda-digi-kft-2256067?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Rendszerszervező (RSZ),MAVIR Zrt.,Architect felhasználói szintű ismerete Folyamatmodellezési tapasztalat Business Analyst minősítés/képesítés...,https://www.profession.hu/allas/rendszerszervezo-rsz-mavir-zrt-2247867?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['WORD', 'POWERPOINT', 'ENTERPRISE ARCHITECT', 'OUTLOOK']"
System Analyst,ShiwaForce.com Zrt.,/gazdaságinformatikai vagy közgazdasági felsőfokú végzettség 3-4 év tapasztalat Business/System Analyst...,https://www.profession.hu/allas/system-analyst-shiwaforce-com-zrt-2258383?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,['AZURE']
Rendszerszervező,RowanHill Digital Kft.,"rendelkezel Systems Analyst vagy Business Analyst munkakörben, Jól beszélsz és írsz angolul társalgási...",https://www.profession.hu/allas/rendszerszervezo-rowanhill-digital-kft-2257522?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Senior frontend developer (E01),Tech People Hungary Kft.,"Creating new functionalities of the financial systems Participation in the creation of the new, state of the art systems user interface Write clear, maintainable and testable code that you are proud of Confession free participation in cross-team function Running the mentorship wi...",https://www.profession.hu/allas/senior-frontend-developer-e-tech-people-hungary-kft-budapest-2243868?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Service Hub Owner (ND),Tech People Hungary Kft.,"As the Service Hub Owner, you will lead a global team of approximately 300 talented individuals, with a budget responsibility of over 15 million EUR. Your strategic vision and hands-on leadership will be instrumental in modernizing and automating our user support services, ensuri...",https://www.profession.hu/allas/service-hub-owner-nd-tech-people-hungary-kft-budapest-2253879?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,['ITIL']
IT teszt koordinátor,ENLOYD Kft.,", project manager, business analyst kollégákkal és az üzleti területek képviselőivel, így a csapatjátékos... status; College; Tester, Test Engineer; IT Development; Language skills are not required; junior; flexible working hours ...",https://www.profession.hu/allas/it-teszt-koordinator-enloyd-kft-2244091?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Belső ellenőr,ERSTE BANK HUNGARY Zrt.,"adatelemző alkalmazásokat;
·       nem okoz problémát egy-egy szakmai, üzleti célú utazás.  
ELŐNYT...",https://www.profession.hu/allas/belso-ellenor-erste-bank-hungary-zrt-2243943?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Business Development Project Manager,Foodora,hozzánk Business Development Project Manager/Business Analyst pozícióra! Munkád során...,https://www.profession.hu/allas/business-development-project-manager-foodora-2254593?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
"Developer, Software Automation",Hydro Extrusion Hungary Kft.,"communicating the technical infrastructure requirements Supporting Business Analyst during the... designing process of a new software automation solution Modelling, developing and implementing automation...",https://www.profession.hu/allas/developer-software-automation-hydro-extrusion-hungary-kft-2243678?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
